config,model,rag,id,question,reference,in_scope,expected_source,answer,response_ms,rouge_l,sem_sim,refused_auto,refused_manual,retrieval_hit
A_llama32,llama3.2:3b,False,1,What is a strong prerequisite?,"Strong prerequisites are prerequisites without which the follow-up subject cannot be taken in the next semester, and the follow-up subject can only be registered for after the prerequisite subject has been fulfilled. Neptun will automatically deregister you from the subject if you do not meet this prerequisite.",True,prerequisite,"A strong prerequisite is a course or requirement that is essential and fundamental to understanding the material covered in a subsequent course or program. It is typically a core component of a degree program, and not completing it can lead to difficulties in succeeding in later courses.

In other words, a strong prerequisite is a course that:

1. Is a required part of the curriculum
2. Provides foundational knowledge necessary for success in later courses
3. Typically has a high level of difficulty or complexity
4. Often has a significant impact on the student's ability to complete the program

For example, in computer science, a strong prerequisite for a data structures course might be a programming fundamentals course, as it provides the necessary skills and knowledge to understand complex data structures.

Is there anything else I can help you with?",38952,0.1158,0.6171,,,True
A_llama32,llama3.2:3b,False,2,What is a weak prerequisite?,"A weak prerequisite can be taken in the same semester as the follow-up subject, but you must complete it first before you pass the follow-up. If not completed, your grade in the follow-up subject will automatically be failed or unfulfilled even if you pass its exam.",True,prerequisite,"A weak prerequisite, also known as a ""weakly required"" or ""recommended"" course, is a course that is not strictly necessary for a student to complete their degree program, but it is still highly recommended or beneficial for their academic success and career goals.

In the context of ELTE Faculty of Informatics, a weak prerequisite might be a course that:

* Is not explicitly required by the curriculum, but is considered valuable for students who want to specialize in a particular area
* Provides additional skills or knowledge that are relevant to the student's chosen field of study
* Can help students develop transferable skills, such as problem-solving, critical thinking, or communication

Weak prerequisites can vary depending on the specific program and curriculum, but they generally serve as a way for students to explore their interests, gain new skills, or enhance their academic experience.

Is there anything else I can help you with?",29591,0.12,0.6549,,,True
A_llama32,llama3.2:3b,False,3,"If I fail a weak prerequisite, does it count toward my subject registration limit?","If you register for the follow-up subject but cannot pass it in a given semester due to a failed prerequisite, the follow-up subject will not be counted into the maximum 3 subject registrations per subject limit during your studies.",True,prerequisite,"In most cases, failing a weak prerequisite will not count towards your subject registration limit. The concept of ""weak"" prerequisites can vary depending on the institution and the specific course requirements.

Typically, institutions have a policy that allows students to retake or re-register for courses without counting failed attempts towards their subject registration limits. This means that if you fail a weak prerequisite, you can try again without exceeding your allowed number of registrations.

However, it's essential to check with your department or the institution's policies regarding weak prerequisites and subject registration limits. Some institutions might have specific rules or restrictions in place, so it's always best to confirm with your academic advisor or departmental administrators.

In general, though, failing a weak prerequisite is unlikely to affect your subject registration limit.",26703,0.1364,0.7484,,,True
A_llama32,llama3.2:3b,False,4,What is a passive semester at ELTE?,"Passive semester: the semester in which the Student announces that he/she wishes to interrupt his/her studies, or he/she cancels his/her active registration, or fails to register until the given deadline (in accordance with the Nftv, the student status is terminated if the Student fails to register for the next semester following two consecutive semesters of suspension);",True,Academic Regulations,"At ELTE (Eötvös Loránd University), a ""passive semester"" refers to a semester where you do not take any courses or attend classes, but still receive your stipend. This can happen for various reasons, such as:

1. Research projects: You might be working on a research project and don't need to attend classes.
2. Study abroad: If you're studying abroad, you might not be able to attend classes at ELTE during that semester.
3. Health issues or personal reasons: In some cases, students might need to take a break due to health issues or personal reasons.

During a passive semester, you still receive your stipend and can use it for living expenses, but you won't have any tuition fees or course-related expenses.",27684,0.1064,0.6653,,,True
A_llama32,llama3.2:3b,False,5,What does active semester mean at ELTE?,Active semester: the semester in which the Student registers to start or continue his/her studies and does not cancel it over the course of the semester;,True,Academic Regulations,"At ELTE (Eötvös Loránd University), ""active semester"" refers to a semester where you have a paid internship or a part-time job, in addition to your regular studies. This means that you are actively engaged in a professional activity outside of the university, while still pursuing your academic studies.

In an active semester, students typically work a certain number of hours per week (usually around 20-25 hours) and receive a stipend or salary for their work. This allows them to gain practical experience, build their professional network, and develop valuable skills in their field.

The idea behind the active semester is to provide students with hands-on experience and to help them transition into the workforce after graduation. It's a great opportunity for students to apply theoretical knowledge in real-world settings and to build a strong foundation for their future careers.",34036,0.1264,0.7345,,,True
A_llama32,llama3.2:3b,False,6,What financial support is available for ELTE students?,"From the Institute’s funds provided as normative funding per student, the financial support made available to students takes the following bursary and scholarship forms [disbursement titles]: (1) Academic scholarship as a scholarship awarded on the basis of academic performance pursuant to Nftv. Section 85/C. aa). (2) 479 National Higher Education Scholarship as a scholarship awarded on the basis of academic performance pursuant to Nftv. Section 85/C. ab). (3) The following scholarships as scholarships awarded on the basis of academic performance pursuant to Nftv. Section 85/C. ac). a) scientific scholarship, b) scholarships for participation in academic competitions and conferences c) public service scholarship, d) scholarship for sports e) scholarship for cultural activities, f) compensation for parallel studies. g) 480ERASMUS+ Start h) “Good student, good athlete” scholarship i) professional scholarship k) 481 arts scholarship (4) Bursaries based social background pursuant to scholarship detailed in Nftv. Section 85/C. b) a) regular social grant, b) regular social grant 10%, c) regular social grant 20%, d) one-time social grant, e) the institutional part of Bursa Hungarica, f) normative grants for foreign students, g) basic financial support, h) financial support for traineeships; (5) Doctorate bursary pursuant to Nftv. Section 85/C. c). (6) Other scholarships awarded pursuant to Nftv. Section 85/C. d, out of the Institution’s income.",True,Academic Regulations,"As an assistant for ELTE Faculty of Informatics students, I can provide you with information on the financial support available to you.

ELTE (Eötvös Loránd University) offers various forms of financial support to its students. Here are some of the options:

1. **Scholarships**: The university provides scholarships to talented and deserving students. These scholarships can be merit-based or need-based, and they cover tuition fees, living expenses, and other related costs.
2. **Student Grants**: ELTE offers student grants to help students with their living expenses while studying at the university. These grants are usually awarded based on financial need and can be used for rent, food, and other living costs.
3. **Financial Aid**: The Hungarian government provides financial aid to eligible students through the National Scholarship Office (ONLINE). This aid can cover tuition fees, living expenses, and other related costs.
4. **EU Student Grants**: If you're an EU citizen, you may be eligible for student grants from your home country or the European Union. These grants can help cover tuition fees, living expenses, and other related costs.
5. **Employment Opportunities**: ELTE offers employment opportunities to its students through various programs, such as the ""Student Employment Program"" or ""Internship Program"". These programs allow you to gain work experience while studying and earn a salary.

To be eligible for these financial support options, you'll need to meet certain requirements, such as:

* Being a Hungarian citizen or having a valid residence permit
* Meeting specific academic requirements (e.g., GPA, course selection)
* Demonstrating financial need or merit

I recommend checking the ELTE website or contacting the Student Affairs Office for more information on these financial support options and to learn about the application process.

Do you have any specific questions about these financial support options?",63847,0.1357,0.4323,,,True
A_llama32,llama3.2:3b,False,7,What is the result of the final examination at ELTE?,The result of the final examination is the average of the grades given for the elements of the final examination defined in Section 81 (1). Any deferring regulation in connection with the grading of the final examination is (as part of the training programme) approved by the Faculty Council on the proposal of the person responsible for the degree course,True,Academic Regulations,"At the ELTE (Eötvös Loránd University) Faculty of Informatics, the final examination results are typically based on a combination of individual and group projects, as well as written exams. The exact format may vary depending on the specific program and course.

However, I can provide some general information about the typical assessment methods used at ELTE:

1. Individual project work: Students usually complete individual or group projects that demonstrate their skills and knowledge in a particular area of informatics.
2. Written exams: There are often written exams at the end of each semester or academic year, which test students' understanding of specific topics and concepts.
3. Presentations and oral exams: Some courses may include presentations or oral exams, where students have to demonstrate their skills in presenting their work or explaining complex concepts.

The final examination results at ELTE are usually based on a combination of these assessment methods, with the exact weightage varying depending on the course and program.

If you're an ELTE Faculty of Informatics student, I recommend checking your course syllabus or speaking with your instructor to get more specific information about the assessment methods used in your particular course.",40948,0.179,0.4998,,,True
A_llama32,llama3.2:3b,False,8,What is the student card and how do I get one?,"The student card is a plastic orange-brown card, in size similar to a bank card. You are eligible if you are staying at ELTE longer than 12 months, your semester status is active, and your Education ID has appeared in Neptun. To apply, obtain a NEK document from a Kormanyablak office, upload it in Neptun, and register your application electronically in the Neptun system.",True,Student Card,"At ELTE (Eötvös Loránd University), the student card, also known as the ""diploma card"" or ""tudási kártya"", is an essential identification document for students. Here's what you need to know:

**What is a student card?**

The student card is a personalized ID card issued by ELTE to its students, which serves as proof of enrollment and identity.

**How do I get a student card?**

To obtain a student card, follow these steps:

1. **Register at the University**: Before you can apply for a student card, you need to register with the university. You'll receive an email with instructions on how to complete this step.
2. **Apply for a Student Card**: Once you've registered, go to the ELTE Student Services website ([www.elte.hu/en/student-services](http://www.elte.hu/en/student-services)) and fill out the online application form for a student card.
3. **Provide Required Documents**: You'll need to upload a scanned copy of your passport or ID card, as well as proof of enrollment (e.g., a confirmation letter from the university).
4. **Visit the Student Services Office**: Take the completed application form and required documents to the ELTE Student Services office (address: Népsziget tér 1-3, 1052 Budapest) during business hours.
5. **Get Your Student Card**: Once your application is processed, you'll receive your student card.

**Tips**

* Make sure to apply for a student card as soon as possible after registering with the university.
* If you have any issues or questions during the application process, contact the ELTE Student Services office for assistance.
* Keep your student card safe and secure, as it's required for various university activities and services.

I hope this information helps!",56842,0.1236,0.6204,,,True
A_llama32,llama3.2:3b,False,9,What housing options are available for ELTE students?,"The ELTE Dormitory Centre provides accommodation to hundreds of ELTE international students in two cities, Budapest, and Szombathely. The dormitories are popular among both the Hungarian and the international students as they offer not only high-quality and affordable places and services – more than half of the dormitories have been completely rebuilt within a few years –, but because of the vivid community life as well. Should you need a place in one of ELTE’s dormitories, please visit: https://www.elte.hu/en/dormitory-centre and contact them.",True,housing,"ELTE (Eötvös Loránd University) offers various housing options to its students, including:

1. Student dormitories: ELTE has several student dormitories located on campus and in the surrounding area. These dormitories offer a range of accommodation options, from shared rooms to single rooms, and provide access to amenities such as kitchens, lounges, and laundry facilities.
2. Private housing: Many students choose to live in private apartments or houses in Budapest's city center or nearby neighborhoods. This option provides more flexibility and independence, but also requires students to find their own accommodation and manage their own living arrangements.
3. Homestays: ELTE offers homestay programs, which allow students to live with a Hungarian family in Budapest. This is a great way for international students to experience Hungarian culture and language while living with a local host family.
4. Student housing cooperatives: Some students choose to join student housing cooperatives, where they can share an apartment with other students and split the costs of rent and utilities.

ELTE also provides some financial assistance for students who need help with accommodation costs. The university offers scholarships and grants to students who are struggling to find affordable housing.

It's worth noting that the availability and affordability of these options may vary depending on the student's budget, language proficiency, and other factors. I recommend checking the ELTE website or contacting the Student Affairs Office for more information on available housing options and application procedures.",44078,0.1269,0.7751,,,True
A_llama32,llama3.2:3b,False,10,What should I do in case of a medical emergency in Hungary?,Important numbers for emergency General emergency number      112 Ambulance 104 Fire 105 Police 107,True,health-insurance,"In case of a medical emergency in Hungary, here are some steps you can take:

1. Call 112: This is the national emergency number in Hungary, and it will connect you with emergency services, including ambulance, police, and fire department.
2. Go to the nearest hospital or clinic: If the situation is not life-threatening, you may want to go to a nearby hospital or clinic for treatment. Many hospitals in Hungary have English-speaking staff, so don't be afraid to ask for help.
3. Visit a pharmacy (áruház) with a 24-hour pharmacy section: Some pharmacies have a 24-hour section where you can find basic medical supplies and advice. They may also be able to provide guidance on what to do next.
4. Contact your university's health center or student union: ELTE has its own health center and student union, which may offer emergency assistance, advice, or even transportation to the hospital if needed.
5. Look for a red cross (Vörös Kereszt) symbol: The Hungarian Red Cross has a network of first aid stations and medical facilities across the country.

It's also a good idea to have some basic information about your health insurance coverage in Hungary, as you may need to provide this information to receive medical attention.

Remember, if you're experiencing a life-threatening emergency, such as severe bleeding, difficulty breathing, or severe injury, call 112 immediately and follow any instructions provided by the emergency services.",45323,0.0383,0.3334,,,True
